港澳频道,#genre#
CCTV4,http://171.108.239.115:8181/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://120.84.121.3:808/hls/5/index.m3u8
CCTV5+,http://120.84.121.118:808/hls/116/index.m3u8
CCTV5+,http://120.84.121.3:808/hls/116/index.m3u8
CCTV5,http://120.84.121.118:808/hls/5/index.m3u8
CCTV5,http://120.84.121.223:808/hls/5/index.m3u8
CCTV5+,http://120.84.121.223:808/hls/116/index.m3u8
CCTV5+,http://106.46.35.133:808/hls/18/index.m3u8
CCTV5,http://106.46.35.133:808/hls/5/index.m3u8
CCTV5,http://171.13.174.159:20443/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://171.108.239.116:8181/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://171.110.42.134:8181/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://171.110.42.134:8181/tsfile/live/1166_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://171.110.10.10:8181/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://171.110.10.10:8181/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://171.109.7.15:18181/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://171.109.7.15:18181/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://171.108.239.115:8181/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://171.108.239.115:8181/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://171.108.239.116:8181/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://120.84.121.3:808/hls/106/index.m3u8
CCTV6,http://120.84.121.118:808/hls/106/index.m3u8
CCTV6,http://120.84.121.223:808/hls/106/index.m3u8
CCTV6,http://106.46.35.133:808/hls/6/index.m3u8
CCTV6,http://171.13.174.159:20443/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://171.108.239.116:8181/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
