乳山,rtp://239.21.1.220:5002?$山东电信
三沙卫视,rtp://239.21.2.9:5002?$山东电信
厦门卫视,rtp://239.21.2.6:5002?$山东电信
山东国际,rtp://239.21.1.61:5002?$山东电信
山东教育,rtp://239.21.1.101:5002?$山东电信
山东教育,rtp://239.21.1.169:5002?$山东电信
山东农科,rtp://239.21.1.59:5002?$山东电信
山东农科,rtp://239.21.1.183:5002?$山东电信
山东齐鲁,rtp://239.21.1.53:5002?$山东电信
山东齐鲁,rtp://239.21.1.134:5002?$山东电信
山东少儿,rtp://239.21.1.60:5002?$山东电信
山东少儿,rtp://239.21.1.208:5002?$山东电信
山东生活,rtp://239.21.1.56:5002?$山东电信
山东生活,rtp://239.21.1.175:5002?$山东电信
山西卫视,rtp://239.21.1.33:5002?$山东电信
陕西卫视,rtp://239.21.1.30:5002?$山东电信
上海纪实,rtp://239.21.1.171:5002?$山东电信
莘县,rtp://239.21.1.211:5002?$山东电信
深圳卫视,rtp://239.21.1.25:5002?$山东电信
深圳卫视,rtp://239.21.1.93:5002?$山东电信
生态环境,rtp://239.21.2.42:5002?$山东电信
寿光蔬菜,rtp://239.21.1.218:5002?$山东电信
四川卫视,rtp://239.21.1.34:5002?$山东电信
四川卫视,rtp://239.21.2.15:5002?$山东电信
四海钓鱼,rtp://239.21.2.38:5002?$山东电信
滕州综合,rtp://239.21.1.178:5002?$山东电信
体育赛事,rtp://239.21.2.44:5002?$山东电信
天津卫视,rtp://239.21.1.22:5002?$山东电信
天津卫视,rtp://239.21.1.165:5002?$山东电信
潍坊1,rtp://239.21.1.77:5002?$山东电信
潍坊2,rtp://239.21.1.78:5002?$山东电信
潍坊寿光新闻,rtp://239.21.1.180:5002?$山东电信
文登,rtp://239.21.1.174:5002?$山东电信
无棣综合,rtp://239.21.1.214:5002?$山东电信
五莲新闻,rtp://239.21.1.249:5002?$山东电信
武城新闻,rtp://239.21.1.239:5002?$山东电信
武城影视,rtp://239.21.1.240:5002?$山东电信
西藏卫视,rtp://239.21.1.46:5002?$山东电信
喜剧影院,rtp://239.21.1.122:5002?$山东电信
夏津公共,rtp://239.21.1.102:5002?$山东电信
夏津综合,rtp://239.21.1.106:5002?$山东电信
新疆卫视,rtp://239.21.1.45:5002?$山东电信
新泰乡村,rtp://239.21.1.248:5002?$山东电信
新泰新闻,rtp://239.21.1.210:5002?$山东电信
新闻综合,rtp://239.21.1.193:5002?$山东电信
烟台公共,rtp://239.21.1.117:5002?$山东电信
烟台经济,rtp://239.21.1.205:5002?$山东电信
烟台新闻,rtp://239.21.1.116:5002?$山东电信
烟台影视,rtp://239.21.1.204:5002?$山东电信
兖州新闻,rtp://239.21.1.224:5002?$山东电信
阳信新闻,rtp://239.21.1.252:5002?$山东电信
优漫卡通,rtp://239.21.1.50:5002?$山东电信
优优宝贝,rtp://239.21.2.41:5002?$山东电信
禹城综合,rtp://239.21.1.241:5002?$山东电信
禹城综艺,rtp://239.21.1.242:5002?$山东电信
云南卫视,rtp://239.21.1.40:5002?$山东电信
郓城新闻,rtp://239.21.1.251:5002?$山东电信
沾化综合,rtp://239.21.1.226:5002?$山东电信
长清新闻,rtp://239.21.1.107:5002?$山东电信
浙江卫视,rtp://239.21.1.17:5002?$山东电信
浙江卫视,rtp://239.21.1.90:5002?$山东电信
中国交通,rtp://239.21.1.115:5002?$山东电信
中华特产,rtp://239.21.2.43:5002?$山东电信
重庆卫视,rtp://239.21.1.24:5002?$山东电信
重庆卫视,rtp://239.21.1.233:5002?$山东电信
诸城新闻,rtp://239.21.1.217:5002?$山东电信
淄博都市,rtp://239.21.1.83:5002?$山东电信
淄博公共,rtp://239.21.1.182:5002?$山东电信
淄博科教,rtp://239.21.1.110:5002?$山东电信
淄博生活,rtp://239.21.1.109:5002?$山东电信
淄博新闻,rtp://239.21.1.84:5002?$山东电信
淄博沂源新闻,rtp://239.21.1.114:5002?$山东电信
综合测试,rtp://239.21.1.203:5002?$山东电信
邹城新闻,rtp://239.21.1.185:5002?$山东电信
足球,rtp://239.21.1.162:5002?$山东电信
